Date,MSFT,AAPL,AMZN,FB,BRK.B,JPM,JNJ,XOM,MMM,ABT,ALXN,ALGN,BAC,BK
2012-05-18,29.27,530.38,213.85,38.232,78.91,33.49,63.35,81.47,83.51,61.57,84.26,29.72,7.02,20.24
2012-05-21,29.75,561.28,218.11,34.03,79.8,32.51,63.47,82.04,84.46,61.81,88.76,31.21,6.83,20.37
2012-05-22,29.76,556.97,215.33,31.0,79.65,34.01,63.52,81.95,84.13,61.99,92.54,31.21,6.98,20.39
2012-05-23,29.11,570.56,217.28,32.0,79.75,34.26,63.27,82.04,84.8,61.37,90.57,31.23,7.17,20.5
2012-05-24,29.07,565.32,215.24,33.03,79.8,33.97,63.1,82.61,84.98,62.42,93.1,31.51,7.14,20.73
2012-05-25,29.06,562.29,212.89,31.91,79.25,33.5,62.51,82.08,84.78,62.25,92.42,31.85,7.15,20.64
2012-05-29,29.56,572.27,214.75,28.84,79.82,33.63,62.59,81.93,85.73,62.14,92.07,32.26,7.44,21.14
2012-05-30,29.34,579.17,209.23,28.19,78.83,32.96,62.21,79.79,84.45,61.79,91.69,31.4,7.2,20.39
2012-05-31,29.19,577.73,212.91,29.6,79.36,33.15,62.43,78.63,84.41,61.79,90.57,31.23,7.35,20.36
2012-06-01,28.45,560.99,208.22,27.72,79.02,31.93,61.78,77.92,82.85,60.52,87.6,29.57,7.02,19.65
2012-06-04,28.55,564.29,214.57,26.9,79.04,31.0,62.34,77.83,82.62,60.22,88.39,28.87,6.9,19.51
2012-06-05,28.505,562.83,213.21,25.869,79.12,31.99,62.21,77.6,82.51,60.3,89.8,30.1,7.1,19.64
2012-06-06,29.35,571.46,217.64,26.81,80.68,33.07,62.8,80.18,84.63,61.04,90.84,31.22,7.64,20.27
2012-06-07,29.23,571.72,218.8,26.31,80.66,32.81,62.8,80.69,85.5,61.2,90.38,30.32,7.42,20.5
2012-06-08,29.65,580.32,218.48,27.1,81.36,33.68,62.98,80.84,86.0,61.88,92.43,30.86,7.56,20.5
2012-06-11,28.895,571.17,216.5,27.005,80.28,32.82,62.12,80.27,85.18,61.51,90.45,30.21,7.28,20.19
2012-06-12,29.29,576.16,216.42,27.4,81.26,33.77,63.08,81.26,86.73,61.96,93.72,30.51,7.49,20.68
2012-06-13,29.13,572.16,214.73,27.27,80.59,34.3,64.45,80.63,86.13,61.51,91.66,31.1,7.5,20.59
2012-06-14,29.34,571.53,214.45,28.29,81.72,34.65,65.45,82.13,86.86,62.14,92.96,31.17,7.66,20.9
2012-06-15,30.02,574.13,218.35,30.014,82.57,35.03,66.01,83.22,87.44,62.5,93.31,31.74,7.9,21.09
2012-06-18,29.84,585.78,222.66,31.41,82.15,34.62,66.3,83.11,87.31,62.7,94.06,33.25,7.76,20.94
2012-06-19,30.7,587.41,224.03,31.911,82.98,35.38,66.72,84.48,87.82,62.87,98.7,34.73,8.11,21.44
2012-06-20,30.93,585.741,223.02,31.6,82.46,36.45,67.0,84.97,87.54,62.82,97.82,34.39,8.14,21.34
2012-06-21,30.135,577.67,220.575,31.84,81.19,35.51,66.39,82.11,86.73,62.24,94.99,32.81,7.82,20.86
2012-06-22,30.7,582.1,222.16,33.05,81.87,35.99,66.63,82.11,86.83,62.32,95.95,32.8,7.94,21.2
2012-06-25,29.865,570.765,220.07,32.06,80.47,35.32,66.5,81.24,85.85,62.12,95.9,31.93,7.6,20.75
2012-06-26,30.02,572.025,225.61,33.1,81.33,35.71,66.42,82.4,86.18,62.35,97.38,32.39,7.615,20.85
2012-06-27,30.17,574.5,225.62,32.23,81.98,36.78,66.84,83.2,87.16,62.87,99.46,32.41,7.77,21.14
2012-06-28,29.91,569.05,221.31,31.36,82.34,35.88,66.94,83.1,87.16,62.91,96.49,31.9,7.74,21.04
2012-06-29,30.59,584.0,228.35,31.095,83.33,35.73,67.56,85.57,89.6,64.47,99.3,33.46,8.18,21.95
2012-07-02,30.56,592.52,229.32,30.771,83.65,36.28,68.0,85.34,89.28,64.63,103.83,35.22,8.05,22.18
2012-07-03,30.76,599.41,229.53,31.2,83.78,35.88,68.04,86.28,89.7,64.83,103.74,35.04,8.06,22.35
2012-07-05,30.7,609.94,227.06,31.47,83.22,34.38,67.78,85.57,89.57,64.75,103.39,34.94,7.82,21.97
2012-07-06,30.185,605.88,225.05,31.73,82.54,33.9,67.64,84.8,88.99,64.75,101.25,34.2,7.66,21.79
2012-07-09,30.0,613.89,225.05,32.17,83.39,33.96,67.78,83.65,88.96,65.61,100.43,34.64,7.56,21.58
2012-07-10,29.74,608.21,219.5,31.47,83.05,34.25,67.88,83.11,88.25,65.67,98.11,33.59,7.48,21.33
2012-07-11,29.3,604.43,218.37,30.97,84.09,34.59,67.9,84.38,87.85,65.18,96.68,32.77,7.63,21.31
2012-07-12,28.63,598.9,215.36,30.81,83.54,34.04,67.71,84.12,86.41,65.13,97.19,31.58,7.48,21.05
2012-07-13,29.39,604.97,218.39,30.72,84.48,36.07,68.61,85.47,87.59,65.45,97.35,31.66,7.82,21.77
2012-07-16,29.44,606.91,216.01,28.245,83.98,35.09,68.45,85.05,88.1,65.48,97.5,30.98,7.81,21.76
2012-07-17,29.66,606.94,216.93,28.09,85.19,34.99,69.0,85.73,88.98,66.46,98.97,30.89,7.92,21.72
2012-07-18,30.45,606.26,217.47,29.11,84.98,34.96,69.37,86.21,90.87,65.93,100.11,30.86,7.53,21.69
2012-07-19,30.665,614.32,226.17,29.0,84.63,34.46,69.53,86.21,90.83,65.8,100.32,31.7,7.26,21.29
2012-07-20,30.115,604.3,228.29,28.76,83.83,33.9,68.63,85.95,89.99,65.06,99.35,34.18,7.07,20.77
2012-07-23,29.28,603.83,226.01,28.75,83.59,34.44,68.11,85.21,89.36,64.64,98.44,33.65,7.09,20.53
2012-07-24,29.15,600.92,223.04,28.45,83.7,34.73,67.35,84.58,88.24,63.94,97.62,33.16,7.04,20.4
2012-07-25,28.83,574.97,217.05,29.34,84.04,35.17,67.53,85.24,88.75,64.12,105.13,34.26,7.07,20.6
2012-07-26,29.16,574.88,220.01,26.845,84.67,35.81,68.74,86.52,90.59,64.65,106.14,35.0,7.17,20.94
2012-07-27,29.755,585.16,237.32,23.705,85.2,36.89,69.52,87.45,91.71,66.39,108.97,35.82,7.31,21.39
2012-07-30,29.64,595.03,236.09,23.15,85.23,36.14,69.45,87.56,91.28,66.6,104.59,34.34,7.28,21.45
2012-07-31,29.47,610.76,233.3,21.71,84.84,36.0,69.22,86.85,91.23,66.31,104.85,33.96,7.34,21.28
2012-08-01,29.41,606.81,232.09,20.88,84.62,36.0,69.38,86.91,91.2,66.1,102.72,33.57,7.22,21.15
2012-08-02,29.19,607.79,230.81,20.04,84.08,35.17,68.45,85.88,90.08,66.34,102.3,33.56,7.18,20.67
2012-08-03,29.75,615.7,234.97,21.09,85.58,36.09,69.12,87.55,91.7,66.59,106.96,34.3,7.43,21.75
2012-08-06,29.95,622.55,233.99,21.92,85.15,36.3,68.84,87.45,91.41,66.37,106.13,34.26,7.64,21.72
2012-08-07,30.26,620.914,236.56,20.72,84.67,37.01,68.29,87.92,91.7,66.03,105.1,35.29,7.67,22.3
2012-08-08,30.33,619.86,234.38,20.72,84.65,37.16,68.35,88.28,91.63,65.9,104.72,34.59,7.67,22.57
2012-08-09,30.5,620.73,234.06,21.01,84.54,36.92,68.32,88.2,91.59,65.72,103.63,34.72,7.72,22.29
2012-08-10,30.42,621.7,232.75,21.807,84.77,36.97,68.64,88.44,92.29,66.11,103.42,34.44,7.74,22.25
2012-08-13,30.39,630.0,232.44,21.6,84.99,36.99,68.46,88.14,92.4,65.99,103.68,34.04,7.72,22.24
2012-08-14,30.13,631.69,233.19,20.38,84.94,37.1,68.64,88.2,92.3,66.17,104.03,34.27,7.78,22.15
2012-08-15,30.2,630.83,237.42,21.2,84.71,37.07,68.35,88.0,92.54,66.42,105.35,34.25,7.87,22.11
2012-08-16,30.78,636.34,241.55,19.87,85.22,37.1,68.2,88.67,93.74,66.43,103.61,34.31,7.93,22.51
2012-08-17,30.9,648.11,241.17,19.05,85.87,36.98,67.8,88.4,94.24,65.92,102.31,34.67,8.0,22.73
2012-08-20,30.74,665.15,240.35,20.011,85.75,37.37,67.7,87.95,93.89,65.73,101.59,33.97,8.15,22.8
2012-08-21,30.8,656.062,239.45,19.159,85.22,38.04,67.78,87.46,93.21,65.3,101.65,34.07,8.19,22.8
2012-08-22,30.54,668.87,243.1,19.439,85.69,37.83,67.75,87.73,92.68,65.54,104.23,33.78,8.22,22.73
2012-08-23,30.255,662.63,241.198,19.44,85.15,37.23,67.74,87.31,91.98,65.33,103.7,32.4,8.15,22.44
2012-08-24,30.56,663.222,245.74,19.409,85.39,37.17,67.6,88.05,92.83,65.84,106.74,32.89,8.16,22.43
2012-08-27,30.69,675.68,243.92,19.15,85.41,37.23,67.49,87.74,92.59,65.72,106.94,32.82,8.07,22.28
2012-08-28,30.63,674.8,246.11,19.34,84.92,37.13,67.51,88.1,92.3,65.73,107.54,33.6,7.96,22.41
2012-08-29,30.65,673.466,247.12,19.1,84.55,37.3,67.37,87.9,92.43,65.61,106.57,33.99,8.0,22.56
